Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,DriveType,FuelType,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price,Engine_Volumes(litres),Fuel_Consumption(litres),Fuel_Consumption_Per_Kilometers
Honda,2019,CR-V,SUV,2019 Honda CR-V VTI-L7 (2WD),USED,Automatic,Front,Unleaded,4465.0,White / Black,"Ravenhall, VIC",4 cyl,SUV,4,7,41990.0,1.5,7.3,100.0
Kia,2016,Sorento,SUV,2016 Kia Sorento SLI (4X2),USED,Automatic,Front,Unleaded,29034.0,Grey / Black,"Hendra, QLD",6 cyl,SUV,4,7,30497.0,3.3,9.9,100.0
Honda,2014,Accord,Sedan,2014 Honda Accord VTI-L,USED,Automatic,Front,Unleaded,132447.0,Red / Black,"Hendra, QLD",4 cyl,Sedan,4,5,18980.0,2.4,8.1,100.0
Ford,2018,Mustang,USED Dealer ad,2018 Ford Mustang GT,USED,Automatic,Rear,Premium,26000.0,Grey / Black Leather,"Berwick, VIC",4 cyl,SUV,4,5,63499.0,2.5,7.7,100.0
Hyundai,2019,Kona,SUV,2019 Hyundai Kona GO (fwd),USED,Automatic,Front,Unleaded,75915.0,White / Black,"Brooklyn, VIC",4 cyl,SUV,4,5,24497.0,2.5,7.2,100.0
Nissan,2013,X-Trail,SUV,2013 Nissan X-Trail ST (fwd),USED,Automatic,Front,Unleaded,149471.0,Grey / Black,"Dingley Village, VIC",4 cyl,SUV,4,5,11999.0,2.5,8.4,100.0
Toyota,2018,Corolla,Hatchback,2018 Toyota Corolla Ascent Sport,USED,Automatic,Front,Unleaded,64507.0,Silver / Black,"Southbank, VIC",4 cyl,Hatchback,5,5,28888.0,1.8,6.1,100.0
Alfa,2019,Romeo,SUV,2019 Alfa Romeo Stelvio Quadrifoglio,USED,Automatic,AWD,Premium,63319.0,Blue / Black,"Nunawading, VIC",6 cyl,SUV,4,5,91990.0,2.9,10.2,100.0
Toyota,2021,C-HR,SUV,2021 Toyota C-HR GXL (2WD),USED,Automatic,Front,Premium,28396.0,White / Black,"Essendon Fields, VIC",4 cyl,SUV,4,5,36868.0,1.2,6.4,100.0
BMW,2017,230I,Coupe,2017 BMW 230I M-Sport,USED,Automatic,Rear,Premium,19500.0,White / 2018/03,"Albion, QLD",4 cyl,Coupe,2,4,39950.0,2.5,6.2,100.0
